,id,relevance
0,1,2.742406
1,4,2.742406
2,5,2.742406
3,6,2.742406
4,7,2.742406
5,8,2.742406
6,10,2.742406
7,11,2.742406
8,12,2.742406
9,13,2.742406
10,14,2.742406
11,15,2.742406
12,19,2.742406
13,22,2.742406
14,24,2.742406
15,25,2.742406
16,26,2.742406
17,28,2.742406
18,29,2.742406
19,30,2.742406
20,31,2.742406
21,32,2.742406
22,33,2.742406
23,36,2.742406
24,39,2.742406
25,40,2.742406
26,41,2.742406
27,42,2.742406
28,43,2.742406
29,44,2.742406
30,45,2.742406
31,46,2.742406
32,47,2.742406
33,49,2.742406
34,50,2.742406
35,52,2.742406
36,53,2.742406
37,54,2.742406
38,55,2.742406
39,56,2.742406
40,57,2.742406
41,58,2.742406
42,59,2.742406
43,60,2.742406
44,61,2.742406
45,62,2.742406
46,63,2.742406
47,64,2.742406
48,66,2.742406
49,67,2.742406
50,68,2.742406
51,70,2.742406
52,71,2.742406
53,72,2.742406
54,73,2.742406
55,74,2.742406
56,76,2.742406
57,77,2.742406
58,78,2.742406
59,79,2.742406
60,80,2.742406
61,82,2.742406
62,83,2.742406
63,84,2.742406
64,86,2.742406
65,87,2.742406
66,89,2.742406
67,91,2.742406
68,93,2.742406
69,94,2.742406
70,95,2.742406
71,96,2.742406
72,97,2.742406
73,98,2.742406
74,99,2.742406
75,100,2.742406
76,102,2.742406
77,103,2.742406
78,104,2.742406
79,107,2.742406
80,108,2.742406
81,109,2.742406
82,110,2.742406
83,111,2.742406
84,112,2.742406
85,115,2.742406
86,116,2.742406
87,118,2.742406
88,119,2.742406
89,121,2.742406
90,124,2.742406
91,126,2.742406
92,128,2.742406
93,129,2.742406
94,130,2.742406
95,131,2.742406
96,132,2.742406
97,133,2.742406
98,134,2.742406
99,135,2.742406
100,137,2.742406
101,139,2.742406
102,140,2.742406
103,141,2.742406
104,142,2.742406
105,144,2.742406
106,145,2.742406
107,146,2.742406
108,148,2.742406
109,151,2.742406
110,152,2.742406
111,153,2.742406
112,154,2.742406
113,155,2.742406
114,156,2.742406
115,159,2.742406
116,160,2.742406
117,161,2.742406
118,163,2.742406
119,167,2.742406
120,168,2.742406
121,169,2.742406
122,170,2.742406
123,171,2.742406
124,173,2.742406
125,174,2.742406
126,175,2.742406
127,176,2.742406
128,180,2.742406
129,183,2.742406
130,184,2.742406
131,185,2.742406
132,187,2.742406
133,188,2.742406
134,189,2.742406
135,190,2.742406
136,192,2.742406
137,194,2.742406
138,196,2.742406
139,197,2.742406
140,198,2.742406
141,199,2.742406
142,200,2.742406
143,204,2.742406
144,206,2.742406
145,207,2.742406
146,208,2.742406
147,209,2.742406
148,211,2.742406
149,212,2.742406
150,213,2.742406
151,216,2.742406
152,217,2.742406
153,218,2.742406
154,219,2.742406
155,220,2.742406
156,221,2.742406
157,222,2.742406
158,224,2.742406
159,225,2.742406
160,228,2.742406
161,229,2.742406
162,230,2.742406
163,231,2.742406
164,232,2.742406
165,234,2.742406
166,235,2.742406
167,236,2.742406
168,237,2.742406
169,238,2.742406
170,239,2.742406
171,240,2.742406
172,242,2.742406
173,243,2.742406
174,244,2.742406
175,246,2.742406
176,247,2.742406
177,248,2.742406
178,249,2.742406
179,250,2.742406
180,251,2.742406
181,252,2.742406
182,253,2.742406
183,254,2.742406
184,256,2.742406
185,258,2.742406
186,260,2.742406
187,262,2.742406
188,263,2.742406
189,264,2.742406
190,265,2.742406
191,267,2.742406
192,268,2.742406
193,269,2.742406
194,271,2.742406
195,273,2.742406
196,274,2.742406
197,277,2.742406
198,278,2.742406
199,279,2.742406
200,280,2.742406
201,281,2.742406
202,282,2.742406
203,283,2.742406
204,285,2.742406
205,286,2.742406
206,287,2.742406
207,288,2.742406
208,289,2.742406
209,291,2.742406
210,292,2.742406
211,295,2.742406
212,296,2.742406
213,298,2.742406
214,299,2.742406
215,300,2.742406
216,301,2.742406
217,302,2.742406
218,303,2.742406
219,304,2.742406
220,306,2.742406
221,307,2.742406
222,308,2.742406
223,309,2.742406
224,310,2.742406
225,311,2.742406
226,312,2.742406
227,313,2.742406
228,315,2.742406
229,316,2.742406
230,317,2.742406
231,320,2.742406
232,321,2.742406
233,322,2.742406
234,324,2.742406
235,325,2.742406
236,326,2.742406
237,328,2.742406
238,329,2.742406
239,330,2.742406
240,332,2.742406
241,333,2.742406
242,336,2.742406
243,337,2.742406
244,338,2.742406
245,339,2.742406
246,342,2.742406
247,344,2.742406
248,345,2.742406
249,348,2.742406
250,349,2.742406
251,352,2.742406
252,353,2.742406
253,356,2.742406
254,357,2.742406
255,358,2.742406
256,360,2.742406
257,362,2.742406
258,364,2.742406
259,366,2.742406
260,367,2.742406
261,368,2.742406
262,369,2.742406
263,370,2.742406
264,371,2.742406
265,372,2.742406
266,376,2.742406
267,377,2.742406
268,378,2.742406
269,379,2.742406
270,380,2.742406
271,381,2.742406
272,382,2.742406
273,383,2.742406
274,384,2.742406
275,386,2.742406
276,387,2.742406
277,388,2.742406
278,390,2.742406
279,391,2.742406
280,392,2.742406
281,393,2.742406
282,394,2.742406
283,395,2.742406
284,396,2.742406
285,398,2.742406
286,399,2.742406
287,404,2.742406
288,405,2.742406
289,406,2.742406
290,409,2.742406
291,410,2.742406
292,412,2.742406
293,414,2.742406
